name,artists,year,danceability,energy,valence,popularity,tempo
Camby Bolongo,['Idris Muhammad'],1977,0.894,0.521,0.91,34,126.805
Just One of Those Things,['Stan Getz'],1976,0.585,0.272,0.583,26,90.104
Recognize,"['Warren G', 'The Twinz']",1994,0.878,0.52,0.647,38,90.744
Soul Junction,['Red Garland Quintet'],1957,0.463,0.287,0.196,13,186.764
Flor Marchita - Remasterizado,['Ignacio Corsini'],1921,0.648,0.0995,0.422,0,71.978
Freak in You,['PARTYNEXTDOOR'],2017,0.424,0.419,0.119,62,86.5
ST 100/6,['Big Star'],1972,0.585,0.356,0.265,23,88.758
Madama Butterfly / Act 2: Ora a noi. Sedete qui,"['Giacomo Puccini', 'Giovanni Inghilleri', 'Renata Tebaldi', ""Orchestra dell'Accademia Nazionale di Santa Cecilia"", 'Alberto Erede']",1951,0.307,0.0267,0.0806,0,76.894
My Babe,['Nancy Wilson'],1966,0.634,0.684,0.618,25,75.75
Big Money,['Big Black'],1985,0.361,0.873,0.403,25,177.327
Dead Inside,['Skillet'],2009,0.384,0.909,0.457,48,159.999
Sh Boom (Life Could Be A Dream),['Kenny Vance and the Planotones'],2006,0.715,0.439,0.8859999999999999,42,130.481
Wherever I May Roam - Live with the SFSO,['Metallica'],1999,0.26,0.943,0.191,35,136.349
I Got Carried Away,['Tyrone Davis'],1976,0.528,0.291,0.532,22,86.073
The Ghost Has No Home,"['Cocteau Twins', 'Harold Budd']",1986,0.205,0.0257,0.0581,34,112.679
Slow Down,['Brand Nubian'],1990,0.731,0.857,0.691,49,95.879
"Trio No. 3 in B-Flat Major, K. 502: II. Larghetto","['Wolfgang Amadeus Mozart', 'Lili Kraus', 'Willy Boskovsky', 'Nikolaus Hubner']",1938,0.279,0.127,0.222,0,83.789
Me Persigue Tu Sombra,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,0.488,0.534,0.78,46,181.309
El Bastardo,['Los Rehenes'],2012,0.738,0.441,0.966,50,182.617
Dandy - Mono Mix,['The Kinks'],1966,0.603,0.627,0.865,33,92.092
"Scarborough Fair - Live at Central Park, New York, NY - September 19, 1981",['Simon & Garfunkel'],1982,0.26,0.109,0.252,45,112.751
Our Delight,['Cannonball Adderley'],1958,0.477,0.489,0.821,8,142.477
Lamento No Morro,"['Antônio Carlos Jobim', 'Roberto Paiva']",1956,0.541,0.501,0.4,22,105.565
Speechless (feat. Tori Kelly),"['Dan + Shay', 'Tori Kelly']",2019,0.562,0.383,0.4970000000000001,62,135.15
Good Golly Miss Molly,['The Sonics'],1965,0.578,0.963,0.708,20,88.24
"Canon and Gigue in D Major, P. 37: Canon","['Johann Pachelbel', 'English Chamber Orchestra', 'Raymond Leppard']",1975,0.232,0.119,0.203,29,89.038
6 Underground,['Sneaker Pimps'],1996,0.5870000000000001,0.687,0.402,51,169.938
Save the Last Dance For Me,['Jerry Lee Lewis'],1969,0.481,0.66,0.884,35,162.093
Little Bit,['Lykke Li'],2008,0.8190000000000001,0.736,0.701,56,120.318
Beheaded,['The Offspring'],1989,0.325,0.87,0.5760000000000001,34,148.177
“40” - Live,['U2'],1987,0.371,0.773,0.311,37,145.222
Cha cha cha de las segretarias - Remastered,['Michelino e il suo complesso'],1960,0.8959999999999999,0.546,0.76,24,114.091
"Cao, Cao, Maní Picao","['La Sonora Matancera', 'Celia Cruz']",1959,0.589,0.747,0.841,38,91.159
The Reflex - Dance Mix; 2010 Remaster,['Duran Duran'],1983,0.626,0.905,0.718,31,126.613
So Damn Lucky,['Dave Matthews'],2003,0.522,0.8220000000000001,0.453,41,130.277
Car Crazy Cutie (Stereo),['The Beach Boys'],1963,0.56,0.662,0.916,15,129.072
Ball And Chain - 2001 Remaster,['XTC'],1982,0.5820000000000001,0.7440000000000001,0.674,27,133.344
Chapter 1.16 - Dziewczynka z Luna Parku: Część 1,['Zofia Dromlewiczowa'],1931,0.72,0.265,0.674,0,97.555
"Can't Get Enough Of Your Love, Babe",['Barry White'],1974,0.7440000000000001,0.8190000000000001,0.757,26,110.963
